stage,dataset_id,variant_id,seed,track,evaluation_group,fold_index,split_group,batch_size,batch_count,train_loss,tensor_cache_mode,amp_mode,compile_status
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,2,subject_11,24576,20,0.92578125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,3,subject_12,24576,20,0.94140625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,4,subject_13,24576,20,0.9453125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,5,subject_14,24576,20,0.95703125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,6,subject_17,24576,20,0.953125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,7,subject_18,24576,20,0.94140625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,8,subject_19,24576,20,0.9140625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,9,subject_21,24576,20,0.96484375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,10,subject_22,24576,20,0.9609375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,11,subject_23,24576,20,0.95703125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,12,subject_24,24576,20,0.9453125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,13,subject_25,24576,20,0.96875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,14,subject_26,24576,20,0.9765625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,15,subject_5,24576,20,0.88671875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,16,subject_6,24576,20,0.83984375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,benchmark_only,17,subject_9,24576,20,0.921875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,1,subject_10,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,2,subject_11,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,3,subject_12,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,4,subject_13,24576,20,0.640625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,5,subject_14,24576,20,0.63671875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,6,subject_17,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,7,subject_18,24576,20,0.61328125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,8,subject_19,24576,20,0.6328125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,9,subject_21,24576,20,0.62890625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,10,subject_22,24576,20,0.625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,11,subject_23,24576,20,0.6328125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,12,subject_24,24576,20,0.6328125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,13,subject_25,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,14,subject_26,24576,20,0.62109375,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,15,subject_5,24576,20,0.62890625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,16,subject_6,24576,20,0.6171875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,loft_only,17,subject_9,24576,20,0.61328125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,1,subject_10,24576,20,0.89453125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,2,subject_11,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,3,subject_12,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,4,subject_13,24576,20,0.90625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,5,subject_14,24576,20,0.9140625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,6,subject_17,24576,20,0.921875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,7,subject_18,24576,20,0.92578125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,8,subject_19,24576,20,0.92578125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,9,subject_21,24576,20,0.921875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,10,subject_22,24576,20,0.9140625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,11,subject_23,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,12,subject_24,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,13,subject_25,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,14,subject_26,24576,20,0.921875,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,15,subject_5,24576,20,0.91015625,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,16,subject_6,24576,20,0.8828125,cuda,bf16,off
confirm,nasa_csm,no_lag_window,42,objective,combined,17,subject_9,24576,20,0.89453125,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,1,subject_10,24576,20,0.96875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,2,subject_11,24576,20,0.9375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,3,subject_12,24576,20,0.953125,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,4,subject_13,24576,20,0.953125,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,5,subject_14,24576,20,0.96875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,6,subject_17,24576,20,0.95703125,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,7,subject_18,24576,20,0.96484375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,8,subject_19,24576,20,0.9296875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,9,subject_21,24576,20,0.9765625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,10,subject_22,24576,20,0.97265625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,11,subject_23,24576,20,0.9609375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,12,subject_24,24576,20,0.95703125,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,13,subject_25,24576,20,0.98046875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,14,subject_26,24576,20,0.984375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,15,subject_5,24576,20,0.91796875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,16,subject_6,24576,20,0.8671875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,benchmark_only,17,subject_9,24576,20,0.9375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,1,subject_10,24576,20,0.6484375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,2,subject_11,24576,20,0.640625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,3,subject_12,24576,20,0.63671875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,4,subject_13,24576,20,0.6640625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,5,subject_14,24576,20,0.65625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,6,subject_17,24576,20,0.6484375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,7,subject_18,24576,20,0.63671875,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,8,subject_19,24576,20,0.6640625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,9,subject_21,24576,20,0.65625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,10,subject_22,24576,20,0.65234375,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,11,subject_23,24576,20,0.66015625,cuda,bf16,off
confirm,nasa_csm,no_event_bias,42,objective,loft_only,12,subject_24,24576,20,0.65625,cuda,bf16,off
